S.no,District,Petrol Pumps,Dhabas/Hotels,Workshops
1,Alipurduar,"R.G. Petrol Pump, Pro. Avik Paul, Nimti Chowpathi, Kalchini, Alipurduar, 9735055998","Sangma Dhaba, Jonathan Sangma, Garam basty, Damanpur, Alipurduar, 7679791750","Om Sai Service Centre & Car washing, Garam basty, Damanpur, Alipurduar, 8670815393, 9733173211"
2,Alipurduar,"Maa Krishna Service Station, Pro. Subrata Roy, Dakshin Satali, Alipurduar, 9800815464","Ratan Sarkar, Garam basty, Damanpur, Alipurduar, 6296951203","Barman Eng. Works, Sudhan Barman, Garam basty, Damanpur, Alipurduar, 9733166042"
3,Alipurduar,"Vishand Trading Company, Pro. Anita Gupta, Hasimara, Alipurduar, 9534045279","Basak Dhaba, Joshna Dhaba, Garam basty, Damanpur, Alipurduar, 7384976393","Azad Tyre, Anwar Hossain, Madarihat, Subhash Nagar, Alipurduar, 7779831952"
4,Alipurduar,"Madarihat Auto Service, Pro. Rakesh Kalyani, Madarihat, Alipurduar, 9733220350","Ganapati Dhaba, Naresh Brahma, Garam basty, Damanpur, Alipurduar, 7001600375","Rohit Garage, Sushil Roy, Ghoramara, Kumargram, Alipurduar, 7319597118"
5,Alipurduar,"NES Hasimara, Pro. Sudipta Haldar, Madarihat, Alipurduar, 8145791710","Rupan Dhar, Garam basty, Damanpur, Alipurduar, 7602249737","Dey Auto Mobile, Kishor Dey, Barobisha, Kumargram, Alipurduar, 9832579199"
6,Alipurduar,"Elite Service Station, Pro. Alok Kr. Barman, Khutimari, Alipurduar, 9475331329","Kaludaka Dhaba, Ghanabir Siwa, Garam basty, Damanpur, Alipurduar, 6296729469","Hind Tyre, Md. Haniul Haque, Nimti Chowpathi, Kalchini, Alipurduar, 9679499479"
7,Alipurduar,"R.G. Traders, Pro. Hrittik Pal, Tatpara, Samuktala, Alipurduar, 7797816612","Pradip Hotel, Anabala Sangma, Garam basty, Damanpur, Alipurduar, 8670752848",
8,Alipurduar,"M.S. Goutam Trading Agency, Pro. Bijon Krishna Goutam, Barobisha, Alipurduar, 9434604838","Moti Agarwal Dhaba, Nimti Chowpathi, Kalchini, Alipurduar, 7319097967",
9,Alipurduar,,"Maa Tara Dhaba, Jiban Ghosh, Nimti Chowpathi, Kalchini, Alipurduar, 9547902239",
10,Alipurduar,,"Nimti Dhaba, Sudhir Ch. Dey, Nimti Chowpathi, Kalchini, Alipurduar, 9733360525",
11,Alipurduar,,"New Saini Line Hotel, Ajandar Singh, Paschim Satali, Kalchini, Alipurduar, 9832055082",
12,Alipurduar,,"Laddu Hotel, Laddu Dutta, Hasimara, Alipurduar, 8637307610",
13,Alipurduar,,"Bajrang Dhaba, Sushil Kr Das, Madarihat, Subhash Nagar, Alipurduar, 8670723879",
14,Alipurduar,,"Jaldapara Green Inn Hotel & Lodging, Ranjit Saha, Madarihat, Alipurduar, 7430039471",
15,Alipurduar,,"Diya Hotel, Sikandar Mirza, Madarihat, Alipurduar, 9547475754",
16,Alipurduar,,"Sangma Dhaba, Babinder Mariya, Ethelbari, Alipurduar, 8167677109",
17,Alipurduar,,"Shmiti Priya Hotel, Pintu Ghosh, Kathaltala, Samuktala, Alipurduar, 7001627989",
