S.no,District,Name of petrol pumps with address and contact no.,Name of Dhabas/Hotels with address and contact no.,Name of workshops with address and contact no.
1,Bankura,"M/S Santima Filling Station, Bhedua Mob-9475167241; M/S Jit Filling Station, Sankarhati Mob-9800111779; M/S Standard Automobiles, Gobinda Nagar Mob-9732012797; M/S Balabux Kanahaiyalal Petrol Pump, Bankura Mob-9434013665; Rambhagat Hariogopal Bima More Mob-9748666555; Rambhagat Rani Prasad, Machantala; Lalji Raja & Sons, Dhaldanga Mob-9732524442","Joy Maa Kali Hindu Hotel, Belbani Chaurasta Bankura Mob-9732703370; Hindusthan Hotel & Restaurant, Pranbandhu, Bankura Mob-7860464950; Rajupr Hotel & Dhaba, Kadamaghati, Bankura; Ghosh Hotel, Makurgram Mob-9806700000; Shyama Hotel & Dhaba, Machantala; Hotel United & Family Restaurant, Kamala, Near Phaldanga","Tyre Repairing Makurgram, Bankura 629407554"
2,Bankura,"Saltora Station, Saltora Mob-9800994144; Jyoti Filling Station, Saltora Mob-9434588655; Maa Shakti Fuel Station, Saltora Mob-9547862680",Krishna Pal Hindu Hotel Palbra Ph-7001777791; Kartik Hotel Saltora Ph-9732023474,
3,Bankura,Loknathbaba Fuel Centre; Sevak Fuel Centre Mob-9933903262,"Laxmishree Hotel, Kanchanpur, G. Ghat Bankura Road 743088650",
4,Bankura,"Hirrigar Service, Belatore Mob-9434016179; Bagari Service Station Raharboni Barjora Durgapur Road Mob-9733409114",Tripti Hotel Mob-9732289108 / 9434243396,"Panagarh Engineering Works, Barjora Mob-8927447407"
5,Bankura,"Mataji Fuel Centre, Barabarkacha Mob-9474631999; M/S Durga Oil Filling Station Mob-03242-270012; Maa Basuli Service Station Ghoramuli Mob-9046967195","Maa Tara Hindu Hotel, Bhedra More NH60 Mob-8509659630; Tara Maa Dhaba, Saluni petrol pump Bankura–Saltora road; Basudeb Hotel Barbra near Mataji Fuel centre Bankura–Chhatna Pitch","Attach Garage with Hotel; Goutam Daria Garage Saluni petrol pump; Sahidul Ansary, Upardihi More near Kalampur petrol pump; Tyre garage Barabarkar near Mataji Fuel centre; Netaji Fuel center Bankura–Chhatna"
6,Bankura,"Mallibhum Service Centre, Khamarbera Mob-9434227056; Tanisha Filling Station Kaliseni Mob-9434000484",Pathil Bandhu Hotel Mob-8617033505 / 9434626341; Hotel Maa Chandi Bhadulsole Mob-8001207460; Hotel Himalaya & Restaurant Bhadulsole near Kaliseni,Susanta Karmakar 9732873994
8,Bankura,Samaswati Auto Centre Meja Mob-9474671115; Maa Tara Fuel Centre Tewary danga Mob-943246448,Swapan Kr Chowdhury 9732219531,Nil
9,Bankura,Anjali Fueling Station Kankrasele Mob-9474188373; Sony Service Station Chhatna Mob-9732188709,Souvik Hotel (03242-259932) Raipur,Pintu Garage (8670875109) Raipur
10,Bankura,Madhuri Filling Station Uttar Kamalpur Indpur Mob-9475687243; Sunxprabha Filling Station Mob-7872775412,Piya Hindu Hotel Ph-8170039335 Gobindpur; Dayamayi Hindu Hotel Gobindpur Ph-9970969651; Maa Khatyani Kali Hindu Hotel NH60 Chhagram Mob-8116462116,Garage Bhola at Bangla Mob-9732056837; Gurupada Garage Mob-9800536768
11,Bankura,Mandal Fuel Station Sarenga Mob-9933700455; Maa Annapurna Filling Station Mob-9434028716,Swapnil Hotel Bishnupur bypass 8759073995; Pintu Line Hotel Bakadoba 8436109223; Mahanta hotel on NH60 6295588483; Mansa Hotel on SH-02 875791663; Maa Tara Hotel on NH60 9564834265,Gour Karmakar at Sonamukhi Bypass; Nandi garage at untabri bypass 977520894
12,Bankura,Simlapal Filling Station Mob-9474188928 / 9434586506,Dudhapukur Maa Tara Hotel,Mallik Engineering Bishnupur Bypass Mob-9434160301; Joydeb Karmakar Pranab Hazra (9800516770)
13,Bankura,Unique Fuel Shidbanga More Mob-9749495906; Utsab Filling Station Panchmura Mob-700124893; Maa Vaishno Devi Fuel Taldanga Mob-9967583204,Mato Maa Hindu Hotel 9732191024,Dharmaraj Auto Centre 9732120994
14,Bankura,Soren Filling Station Khatra Mob-9434526091; Aditya Filling Station Khatra Mob-9641900132; Rambhagat Hariprasad Khatra Mob-8697738928,Tara Maa Hindu Hotel Shas More 629485205,Majumder Auto Mobiles Netaji More 9474018824
15,Bankura,Nigamananda Automobile Mob-7407609669; Jalan Petrol Pump Bishnupur Mob-9434003058; Rita Filling Station Bishnupur Mob-9474189852; Maa Saradamoni Filling Station Bamunri More Mob-9434110605,Raghu Paramanik Mob-9002997273 / 6294111281,Pir Baba Garage Mob-9547833346
16,Bankura,M/S Sita Filling Station,,
17,Bankura,Damodar Filling Centre Kankradanga Mob-9475982911; Hamida Fueling Centre Dukibandha Mob-9434392005,,
18,Bankura,M/S Baba Loknath Service Station Mob-981596596,,
19,Bankura,Dwivedi Filling Station Gopalganj Mob-9732673423; Nirupama Filling Station Khundanga Mob-9434204251; Panchanan Filling Station Sarsdi Mob-9434509966,Nil,
20,Bankura,Sarita Filling Station Sonamukhi Mob-933208690; Gita Filling Station Ratap P.S Sonamukhi Mob-9064793733 / 9434362394,,
