S.no,District,Name of petrol pumps with address and contact no.,Name of Dhabas/Hotels with address and contact no.,Name of workshops with address and contact no.
1,Birbhum,Sani Service Station Plot No 5/5 1419 18 & 21 Lno Mouza Tilpara PS Suri Mob 9434006220,Chhittu Restaurant Opposite Sani Service Station Tilpara Birbhum,
2,Birbhum,Sagnik Highway Service Murormath PO Panuria PS Suri Dist Birbhum West Bengal Mob 8159844300,,
3,Birbhum,Jas Filling Station NH60 Suri Bye Pass Abadurpur Suri Dist Birbhum WB RTKM 148 Lock No11008 Mob 9434029239,,
4,Birbhum,Durga Devi Filling Station Kachubure PO Mohona Dist Birbhum West Bengal RTKM132 Lock No21006 Mob 8927153210,,
5,Birbhum,Reliance Petroleum Khairakuri Md Bazar Birbhum 731227 Mob 9472656129,,
6,Birbhum,Tibrewala Service Station Netaji Subhas Road Suri Birbhum 731101 Mob 9434019150,,
7,Birbhum,Maa Kamala Filling Station Power House Suri Road Dubrajpur Birbhum 731123 Mob 9474611037,,
8,Birbhum,Mayurakshi Filling Station Satkenduri Hetampur Rajbati Birbhum 731123 Mob 03462 206774,,
9,Birbhum,Jay Ram Filling Station Suri Bye Pass NH60 Suri Birbhum,,
10,Birbhum,IOC Petrol Pump After Deucha Bridge Towards Rampurhat NH60 Md Bazar Birbhum,,
11,Birbhum,BPC Petrol Pump Md Bazar Sainthia Road Birbhum,,
12,Birbhum,IOC Petrol Pump Sainthia Kotaspur Main Road Kotaspur Birbhum,,
13,Birbhum,Ahmedpur Petrol Pump Near Ahmedpur BDO Office Birbhum,,
14,Birbhum,HP Petrol Pump Dubrajpur Panchra Road Birbhum,,
15,Birbhum,Joy Durga Filling Station Opp Bolpur Municipal Bus Stand Bolpur Birbhum 731204 Mob 9736006380,,
16,Birbhum,Bholanath Filling Station Suri Futishanko PO Daskalgram District Birbhum 731127 Mob 9434434345,,
17,Birbhum,Joydeb Padmavati Service Station Joydeb More Dubrajpur Road Birbhum 731124 Mob 9732102611,,
18,Birbhum,Fullara Filling Station Labpur Birbhum 731303,,
19,Birbhum,Saha Filling Station Illambazar Birbhum 731214 Mob 9932620781,Radhesyam Mandal Dhabas Illambazar Near Toll Tax 9474404988,Calcutta Motors Illambazar Near Toll Tax 8642066927
20,Birbhum,Reliance Filling Station Rampurhat Munsuba,Sree Dhaba Mallarpur,Bonhati Service Center Rampurhat
21,Birbhum,Maruti Automobiles Nalhati Birbhum 9434740825 9474301314,Milan Paribahan Hotel 9153588986,Tata Service Centre Rampurhat
22,Birbhum,Indian Oil Petrol Pump IC Building Infront of Kishan Mandi Nalhati,Raja Paribahan Hotel NH60 Rampurhat,Samir Auto Works Sanghatamore
23,Birbhum,Gouri Auto Centre Gopalpur Nalhati Birbhum 9434028107 8764868910,Atithi Restaurant Rampurhat 9153663629,Hira Auto Works Batial Rampurhat
24,Birbhum,Indian Oil Filling Station Lohapur Nalhati,Madhu Mamata Hotel Tarapith,Mahindra Service Center Chakpara
25,Birbhum,Indian Oil Filling Station Moholla Rail Gate,Laltu Hotel Munsuba Rampurhat,Baromesya Service Center Surichua Border
26,Birbhum,Tarafit Filling Station Tarapith Birbhum 9748730903,Hindu Hotel Nalhati,
27,Birbhum,COCO Rampurhat Indian Oil Corporation Ltd Vill Po Barshal Rampurhat Birbhum,Janata Hotel Murarai,
