S.no,District,Petrol Pumps,Dhabas/Hotels,Workshops
1,Darjeeling,"Maheswari Auto Service, Lebong Cart Rd, 2253239","Kurseong Tourist Lodge, 03542345608","Rangeet Auto Service, HC Rd, 9832068361"
2,Darjeeling,"Ganeshilal & Sons, Lochnagar Rd, 9932039582","Santa Banta Dhaba, Batasia Loop, West Point, 9593300477","Beekay Auto Service, HC Rd, 03532777263"
3,Darjeeling,"Sailung Auto Service, 13/A Hill Cart Rd, Batasia, Ghum, 9832041130","Shimla Restaurant, Goenka Rd, 9233827030",
4,Darjeeling,"RN Agarwal & Sons, HC Rd, Dali, 9434048886","Glenarys Restaurant, Nehru Rd, 9234517819",
5,Darjeeling,"NC Prem Kumar & Sons, 799 HC Rd, 9434060183",,
6,Darjeeling,"Goenka Petrol Pump, Goenka Rd, 9593979992",,
7,Darjeeling,"Plain View Auto Service, HC Rd, Kurseong, 9832338137",,
8,Darjeeling,"Shaktidevi Enterprise, Pulbazar, Bijanbari, 983254497",,
9,Darjeeling,"Mahalui Auto Service, Mirik, 9641428664",,
10,Darjeeling,"Hill View Auto Service, HC Rd, Sonada, 9434048886",,
11,Darjeeling,"COCO Matigara (Indian Oil), 03532571591","Jaiswal Line Hotel, Matigara, 8250215138","Akram Automobiles, Matigara, 7908432425"
12,Darjeeling,"Aradhya Service Station (Bharat Petroleum), Matigara, 8918123225","Nitai Hotel & Restaurant, Goshpukur","Gupta Motors, Khaprail, 9832479215"
13,Darjeeling,"Fuel Center (Indian Oil), Matigara, 7432079019 / 9434889827","Gourango Shil, Goshpukur Main Road, Moilani Jote, 8945972827","Mandal Garage, Matigara, 9832536574"
14,Darjeeling,"Pioneer Auto Service (Indian Oil), Upper Bagdogra, 7699004044","Modak Hotel, Goshpukur Main Road, 9434377569","Swapan & Sagar Garage, Naxalbari, 7031369061"
15,Darjeeling,"Bagdogra Auto Supply, Upper Bagdogra, 7001155219","Babu Hotel, Goshpukur Main Road, 9775819592","Birbal Garage, Bidhan Nagar, 9002893264"
16,Darjeeling,"Naxalbari Service Station (24x7), Naxalbari, 03532488130","Jagadamba Line Hotel, Goshpukur Main Road","Maa Kali Garage, Bidhan Nagar, 8250312981"
17,Darjeeling,"Ma Durga Fuel Service, Goshpukur, 9932003163","Ekka Hotel, Goshpukur Main Road, 9932214281","Amar Garage, Eastern Bypass Dabgram, Sahudangi, 9434222584"
18,Darjeeling,"Maa Parbati Fuels, Goshpukur Main Road, 9002582488","Guruji Dhaba, Goshpukur Main Road (Near Toll), 9851687699","Sona Wheels Pvt Ltd, Sevoke Road, Near Vega Mall, 7067321611"
19,Darjeeling,"Bidhan's Petrol Pump, Bidhan Nagar, 9851502596","825, Bidhan Nagar, 9800387889","Sevoke Motors, Sevoke Road, 8929268615"
20,Darjeeling,"Kamal Enterprise (Reliance), Bidhan Nagar, 99711877791 / 9832055678","Baldev Hotel, Bidhan Nagar, 9064572053","Beekay Auto, Matigara, 8929268011"
21,Darjeeling,"Pine Farm Service Station, Bidhan Nagar, 9434046997","Sri Ramkrishna Line Hotel, Fulbari, 9933878705","OSL Automotive Pvt Ltd, Sevoke Road, 9800003400"
22,Darjeeling,"Prakash Service Station, Bidhan Nagar, 9233423515",,"Khokon Motor Works Pvt Ltd, Matigara, 7407245959 / 7407091500"
23,Darjeeling,"Bidhan Service Station, Jagannathpur Bidhan Nagar, 8942818943",,"Allied Autowheels Siliguri Pvt Ltd, 2nd Mile Sevoke Road, 7797488831"
24,Darjeeling,"Fillco Pump, Bidhan Nagar, 9434874970",,"Topsel Toyota, Matigara, 03532571107"
25,Darjeeling,"Siddhi Vinayak, Bidhan Nagar, 9932923924",,"Lexican Motors, Matigara, 9830802612"
26,Darjeeling,"Ram Fueling, Eastern Bypass Dabgram, Sahudangi, 9434222584",,"Koushal Hyundai, Matigara, 8170081708"
27,Darjeeling,"Roy Kisan Seva Kendra, Eastern Bypass Dabgram, 9679278556",,"Berlia Hyundai, Sevoke Road, 9093021000"
28,Darjeeling,"Siliguri Service Center (BP), Tinbatti More, 9434057991",,"Shree Force, Darjeeling More (Near Siliguri Gate), 9593941333"
29,Darjeeling,"More Service Center (HP), Tinbatti More, 9434021122",,"Topsel Trucking, Fulbari, 9735913205"
30,Darjeeling,"Kawakhali Fuel Center, Near Medical College, 9434839042",,"Gateway Ford Pvt Ltd, Gosaipur, 03536552686"
31,Darjeeling,"M/S Swastik Fuel, Ranidanga, 9007206519",,"Impression Honda, 3rd Mile Sevoke Road, 8657588904"
32,Darjeeling,"Phasidewa Filling Station (Essar Oil), Phasidewa, 9800644997",,
33,Darjeeling,"Tirupati Service Station, Gosaipur (Near Ford Showroom), 03532551652",,
34,Darjeeling,"Terai Fuels, Medical More, Kadamtala, 9434049406",,
35,Darjeeling,"Ganapati Square Fuel Center, Khaprail More, Patharghata, 9733078399",,
36,Darjeeling,"Hill View Fuels, Sukna, 943401513",,
37,Darjeeling,"Free Kick Venture Pvt Ltd, Champasari, 9681054799",,
38,Darjeeling,"Sarda Auto Care, Mallaguri, 9800258888",,
39,Darjeeling,"Joy Service Station, 3 Mile Sevoke Road, 9832095981 / 9064885477",,
40,Darjeeling,"Sona Petrol Pump, Salugara, 03532590841 / 9474390332",,
41,Darjeeling,"Sagar Service Station, Near PCM Bus Stand, 9434308057 / 03532542664",,
42,Darjeeling,"Five Star Service Station, Hill Cart Road, 9434047942",,
43,Darjeeling,"Fulbari Petrol Pump, Fulbari, 9832300906",,
