S.no,District,Petrol Pumps,Dhabas/Hotels,Workshops
1,Hooghly,"Renu Service Station at Basipur, Gurap, Hooghly, Mob-9143040928","Shiv Shankar Dhaba, Khaldhar, Gurap, Mob-7063301291","Tarak Nath Motor Garage at Sugandhya, Hooghly, Owner-Sri Biswajit Khan-7003756653"
2,Hooghly,"Rajhat Filling Station, Goyea Dadpur, Hooghly near Maheswarpur More, Owner-Pankaj Pandey-7699935184","Gitanjali Hotel, Gurap, Bhastara, NH2, Mob-9474123006","Lohapatti Garage, under Singur PS, near Ratanpur flyover"
3,Hooghly,"Jay Jagannath Petrol Pump, Baidyabati, Owner-Paritosh Ghosh-9831087503","Koilash Hotel, On 26 no route on NH-2, Mob-9932605526","Biswakarma Motor Garage, Sugandhya opposite Jaya Biscuit Company, Owner-Bhagaban Shaw-9131195964"
4,Hooghly,,"Rabi Baisali Hotel, Mob-7044159026",Garage beside Rabi Baisali Hotel on NH2 under Chanditala PS
5,Hooghly,,"Hotel Bajrangbali, opposite Nabanna under Singur",
6,Hooghly,,Hotel Hindustan under Gurap PS,
7,Hooghly,,"Shibam Dhaba, Baidyabati, Mob-9123626172",
8,Hooghly,"HP Luxmi Petrol Pump 522, Grand Trunk Rd, Mahesh Bose Para, Ph-03326623547","Laltu Dhaba, Durgapur Expy, Monoharpur, Dankuni, Mob-9903611771","Bhandari Automobiles Pvt Ltd, Serampore, Old Delhi Road, Bangihati More, Ph-03366137591"
9,Hooghly,"Indian Oil Petrol Pump Serampore, SH-2 Sreerampore, West Bengal 712203","Punjabi Brother's Dhaba, Delhi Road, Belanagar, Dankuni, Ph-9088844412","Bapuli & Pupuli Mazumdar, 176 GT Road, Sheoraphuli, Hooghly, Ph-9152688209"
10,Hooghly,"Indian Oil Petrol Pump Grand Trunk Rd, Barabagan, Serampore","Malwa Hotel, Durgapur Expy, Dankuni, Ph-8100005320","Gautam Maruti Service Station, Hindmotor, Bhadrakali, Hooghly, Ph-9152950020"
11,Hooghly,"Bharat Petroleum Petrol Pump - B Dey (I) Pvt Ltd, Grand Trunk Rd Serampore","Ludhiana Dhaba, NH2 Old Delhi Road, Dankuni, Ph-9163355787","Rajib Car Service, Musalman Para Lane Serampore, Ph-9477090238"
