S.no,District,Name of petrol pumps with address and contact no.,Name of Dhabas/Hotels with address and contact no.,Name of workshops with address and contact no.
1,Howrah,Sen Service Station 9007968248,Grewal Dhaba Foreshore Road,Howrah Orient Motor Kalipara
2,Howrah,Seem Service Station 9830042235,Punjabi Dhaba Andul Road (Gesk Gate),Shalimar Motor Parts Podra on Andul Road
3,Howrah,Sankar Service Station 9831499780,Krishna Hotel Churanhati Andul Road,Raj Motor Foreshore Road
4,Howrah,Madan Service Station 9836686000,Ludhiana Dhaba Ankurhati,Salma Motor Betaitala Phari
5,Howrah,Howrah Motor & Electric Co 9831148153,Hindusthan Hotel Alampur,Ganpati Motor 24 Banebari Bose Road
6,Howrah,Makin Brothers,Chidangar Dhaba Kona,Lala Motor Das Nagar Shampur
7,Howrah,Kanak Service Station 9830194808,Maa Kali Hotel Kona,Rakesh Motor Near Nabanna Bus Stand
8,Howrah,Shroff Brothers 9231551093,Bora Dhaba Alampur,Modi Tyre Betaitala Phari
9,Howrah,Pratap Service Station 9839710771,Hotel Balaram Alampur,Rahamat Repairing Center Betaitala Phari
10,Howrah,Grewal Service Station 9830027222,Moonlight Alampur,RK Motor Parts Alampur
11,Howrah,Sakti Service Station 9830252780,,
12,Howrah,Standard Auto Service 9831148153,,
13,Howrah,Viluar Service Station 9831431090,,
14,Howrah,Beoli Service Station 9830052015,,
15,Howrah,Mishra Service Station,,
16,Howrah,Mathuria Service Station 9831627765,,
17,Howrah,Akash Moni Service Station 9830028954,,
18,Howrah,Karunamoyee Service Station,,
19,Howrah,Sombhunath Service Station 9477656184,,
20,Howrah,Haripada Service Station 9433083476,,
21,Howrah,Harisadan Service Station 9830078437,,
22,Howrah,Anil Service Station 9830078437,,
23,Howrah,Aparna Energy Station 9836213821,,
24,Howrah,Bakultola Motor Stores 9831148153,,
25,Howrah,Panchpara Service Station 9830176605,,
26,Howrah,Arun Service Station 9830078437,,
27,Howrah,Debi Service Station 9836479277,,
28,Howrah,Lakshmi Service Station,,
29,Howrah,Manada Service Station,,
30,Howrah,Manu Filling Centre 7278361691,,
31,Howrah,K C Dey & Brothers 9433167126,,
