S.no,District,Petrol Pumps,Dhabas/Hotels,Workshops
1,Jalpaiguri,"Fulbari Petrol Pump, Fulbari, 9832300906","Jwala Hotel, Telipara","Nanu Garage, LRP More"
2,Jalpaiguri,"Roy & Cousin, NH17 Near Mal Fire Station, 03562255074","Taleb Hotel, Vemtia","Subanna Garage, Dhupguri"
3,Jalpaiguri,"Jalpaiguri Service Station, Patkata, 9733022000","Pankha Hotel, Jhajangi","Sankar Garage, Jhajangi"
4,Jalpaiguri,"Sarkar Service, DVC Rd, 9434004911","BBS Dhaba, Gosala More","Champu Garage, Balapara"
5,Jalpaiguri,"Jay Maa Di Service, Jalpaiguri Highway, 9817600492","Kallan Dhaba, Sariam","Sarkar Automobile, Kortowa"
6,Jalpaiguri,"Nandi Automobiles, Haldibari More, 9475896024","Lama Hotel, Oldabari","Santosh Garage, near Army Camp"
7,Jalpaiguri,,Pathasathi at Lataguri,"Dulal Garage, Nagrakata High Rd"
8,Jalpaiguri,,Pathasathi at Chalsa,"Jalpaiguri Recovery Van Service, Jalpaiguri Highway, 9734962816"
9,Jalpaiguri,,"Hotel Swagat, Line Hotel More","Santos Garage, Maynaguri Bypass, 9434491474"
10,Jalpaiguri,,"Kali Dhaba, Paharpur, 7001028658",
11,Jalpaiguri,,"Soho Hotel, Maynaguri Bypass",
12,Jalpaiguri,,"Sainik Dhaba, Dhupguri, 9735956920",
13,Jalpaiguri,,"Highway Dhaba, Dhupguri",
