S.no,District,Petrol Pumps,Dhabas/Hotels,Workshops
1,Jhargram,"Guin Brothers, Lodhasuli, Jhargram, 721513, 8001200461","Dhaba (Shibu Mondal), Binpur, 9547698947","Nabo Garage, Old Jhargram, Opposite Ramkrishna Sarada Vidyapith, 721507, 9932378245"
2,Jhargram,"Golden Choice, NH-6, Barkala, Jugdiha, Jhargram, 9903403015","Golden Dhaba, Jamboni, 9002406500","Tinku Garage, Raghunathpur, Jhargram, 721507, 9932364211"
3,Jhargram,"Saren Petro Care Centre, Jamda, Jhargram, 721507, (03221)259880","751 No. Hotel, Jamboni, 9635541715","Sau Garage, Raghunathpur, Jhargram, 721507, 8972655657"
4,Jhargram,"Chandan Filling Station, Gojasimul, Jhargram, 721513, (03221)262220","Mama Hotel, Gojasimul, 9083577511","G. S. Automobiles, Central Bus Stand, Jhargram, 721507, 9932826382"
5,Jhargram,"HP Petrol Pump – Lodhasuli Point, Lodhasuli, Jhargram, 721513, 9434320036","Sriman Hotel, Balibhasa, 9434230957","Ignited Filling & Service Centre Pvt. Ltd., TATA Motors Authorized Service Centre for LCV, Old Jhargram, 721507, 8597174667"
6,Jhargram,"Khatua Filling Station, Baligeria, Kultikri, Sankrail, Jhargram, 9437038754","Garma Garam Dhaba, Gopiballavpur, 9002173771 / 9932541101","Bhandari Automobiles Pvt. Ltd., Maruti Authorized Service Centre, Raj Palace Road, Old Jhargram, 9933583519"
7,Jhargram,"Deb & Son's, Old Jhargram, Jhargram, 721507, 9800165510","New Ma Kali Hotel, Gojasimul, 9933925850","Gopal Pal Garage, Balibhasa, 9775501400"
8,Jhargram,"Ramavatar Brothers, Nutandihi, Jhargram, 721507, 9847719767","Kali Mistri (Tyre Repairing), Gojasimul, 8967736134",
9,Jhargram,"Purnima Filling Station, Kanimohuli, Silda, Jhargram, 9330095790",,"Chowdhury Garage, Binpur, 9734818011"
10,Jhargram,"Niharika Kishan Pariseva, Nayabasan, Gopiballavpur, Jhargram, 9679930779",,"Sk. Sakil Ali, Jamboni, 9002597479"
11,Jhargram,"Pramila Filling Station, Jamda, Jhargram, 721507, 9434691529",,"Ghosh Motor Repairing Centre, Gopiballavpur, 9932708391"
12,Jhargram,"Suraj Service Station, Balibhasa, Jhargram, 721513, 9434544167",,
