S.no,District,Petrol Pumps,Dhabas/Hotels,Workshops
1,Malda,"Reliance Petro Marketing Pvt Ltd, Pandua","Pardesi Dhaba, Narayanpur, 8617033606","Mantu Automobile, Krishnakalita, 8145669744"
2,Malda,"M/S Bengal Oil Company, Narayanpur","Teesta Dhaba, Rangabhita, 9932672145","Md Anowar Garage, 9474081264"
3,Malda,M/S Utpal Roy Choudhury Gour Bangla,"Lakshmi Hotel, Lakshmipur, 9851545834","Arfan Garage, Kaliachak, 9733385639"
4,Malda,"Paul Brothers, Rathbari, NH34","Pathasathi, Narayanpur, Old Malda, 8918729094","Monalisa Automobile, Gazole, 9732676201"
5,Malda,"Kaliachak Petro Mart, Sultanganj","Master Dhaba, Pandua, 9547380101","M/S Babu, Narayanpur, 9933640699"
6,Malda,"Jhabarmal Mussadi, Mangalbari",,
7,Malda,"M.S Hemraj Ramgopal, Rangavita",,
8,Malda,"COCO Swagat Indian Oil, Kaluadighi, Narayanpur",,
9,Malda,"M/S Gour Fuel Services Station, Gour Bangla",,
10,Malda,"M.S Jysona Kisan Seva Kendra, Gopalganj",,
11,Malda,"M.S Azam Kishan Seva Kendra, Jalapur, Chanchol",,
12,Malda,"M.S Seth Brothers, Adina, Shibari Nagar",,
13,Malda,"M.S SK Paul, Uttar Jadupur",,
