S.no,District,Name of petrol pumps with address and contact no.,Name of Dhabas/Hotels with address and contact no.,Name of workshops with address and contact no.
1,Nadia,Geeta Fuel Point Kalyani 7003192813,Panthika Hotel Kalyani More NH34 9609119742,Local Garage Kalyani More 3478867321
2,Nadia,Popular Fuel Pump Kalyani 9734817661,Maa Tara Hotel Chakdaha NH34 8438739963,Local Garage Birbhum More NH34 9830084642
3,Nadia,K D Rampogal Jaguli More NH34 9830834804,Maa Durga Hotel Bhadurgur Dubulia Nadia,Raj Motors Works Dubulia Nadia
4,Nadia,Maa Manasha Fuel Pump Kalyani More NH34 9732773554,Tara Maa Hotel Pranab Ghosh Hanskhali Road,KTN Auto Parts Krishnanagar Nadia
5,Nadia,Debdatta Service Station Birohi More NH34 7908134833,Kali Maa Hotel Birohi Ghosh Bhadurburi Nadia,Bengal Tyre Service Birohi Nadia
6,Nadia,Reliance Petrol Pump Birohi Chakdaha NH34 7908193826,Nichakal Hotel Birohi Bhadurburi Dubulia Nadia,Rousid Motors Nadia
7,Nadia,Sadananda Singh and Bros Chakdaha More NH34 9600111752,Ghosh Hotel P Santosh Ghosh Mayapur More Nadia,National Tyre Service Pvt Ltd NH34
8,Nadia,Nichakal Fuels Indian Oil Ramkrishna Roy 9430457500,Bholanath Dhaba Mayapur More Nadia,Salam Tyres MD Prabhatnagar Fulia Nadia
9,Nadia,Parbati Sankar Filling Station Dinabandhu Paul 9434199038,Golden Dhaba P Megha Ghosh Mayapur More Nadia,
10,Nadia,NB Petrol Service Bhatpara Highway Swapan K Bell 9434158693,Suri Maa Ghosh Hotel Dipankar Ghosh Haringhata Nadia,
11,Nadia,Biswas Oil Trading Indian Oil Mirjapur 6297481983,Hotel Ramnagar P Nirmal Saha Dubulia,
12,Nadia,Poraswach Chatterjee Bharat Petroleum 9735817290,Tara Maa Hotel Shambhu Sarkar Dubulia,
13,Nadia,Debnath Fuel Centre Debagram Nadia 9434825642,Swapna Roy Dhaba Haringhata Nadia,
14,Nadia,Kundu Fueling Station Indian Oil Sujit Kundu 9434054219,Hotel Bishnudev Bairagya,
15,Nadia,Jaganath Fuel Station Hundaymore Petrol Pump Debasree Saha 9732600722,New Apyan Hotel Jugger Bazar Nadia,
16,Nadia,SS Sayan Baba Service Station Rajesh Agarwal 9932979526,Maa Tara North Dhaba Haringhata Nadia,
17,Nadia,Maa Sarada Fuel Indian Oil Block C Chandraghata 9434159199,Highway Dhaba P Anupam Tiwary Panighata Nadia,
18,Nadia,Krishna Bhadra Reliance Krishna Bhadra 9434105424,Grand Restaurant P Anindul Haque Debagram Nadia,
19,Nadia,Auto Agro Filling Station IOC Srinath Paul 9434487261,Mridha Hotel Bethuadahari Nadia,
20,Nadia,S Garai Brothers IOCL Anath Bandhu Garai 9832309000,Sankar Hotel Bethuadahari Nadia,
21,Nadia,Basanti Burner Service Monoj Ghosh 9832055363,Ghosh Mahasay Hessel Bholadangga Nadia,
22,Nadia,Kamala Service Station Chittoj Gopal Pal 9433219793,Hotel Green Valley Gacha Nadia,
23,Nadia,Adwaita Auto Service IOC Ashim K Paul 7908641037,Hotel Honeymoon Mayapur Nadia,
24,Nadia,Ghosh Brothers Filling Station Ashok Ghosh 7010056927,Tara Maa Hotel Bishwajit Dey Nabadvip More,
25,Nadia,Paulson Highway Filling Station Bharat Petroleum Gunakar Paul 9933513050,Pantha Tirtha P Gandhi Kundu Krishnanagar Nadia,
26,Nadia,Maa Durga Fuel Station Bhabataru Bhawmick 8170031472,Hotel Kings & Sabita Sweets 8972555530 Krishnanagar,
27,Nadia,Auto Centre Filling Station Bharat Petroleum Ashok Kr Chakraborty 9051348398,Hotel Tarama 96909192 Fulia Nadia,
28,Nadia,Shyamal Fuels IOCL Tutu Roy 9734665810,Nava Hotel P Swapan 8167777711 Habibpur Nadia,
29,Nadia,Satya Filling Station Debnath 7478561119,Hotel Hawai 810914214 Habibpur,
30,Nadia,Sarkar Diesel IOCL Arindam Sarkar 9932743175 Badkulla,Bihari Dhaba P Ramaswar Malakar NH34,
31,Nadia,Geeta Fuel Point Kalyani 7003192813,Hotel Krishna Kanan Kalyani NH34,
32,Nadia,Popular Fuel Pump Kalyani 9734817661,Sankar Hotel Dipak Kar NH34 Krishnanagar,
33,Nadia,K D Rampogal Jaguli More NH34 9830834804,Ghosh Hotel P Ashok Ghosh Krishnanagar,
34,Nadia,Maa Manasha Fuel Pump Kalyani More NH34 9732773554,Hotel Hawai 810914214 Habibpur,
35,Nadia,Debdatta Service Station Birohi More NH34 7908134833,Bihari Dhaba P Ramaswar Malakar NH34,
36,Nadia,Reliance Petrol Pump Birohi Chakdaha NH34 7908193826,Hotel Krishna Kanan Kalyani NH34,
37,Nadia,Sadananda Singh and Bros Chakdaha More NH34 9600111752,Sankar Hotel Dipak Kar NH34 Krishnanagar,
38,Nadia,Ghosh Hotel P Ashok Ghosh Krishnanagar,,
