S.no,District,Petrol Pumps,Dhabas/Hotels,Workshops
1,Paschim Burdwan,H.P Petroleum Pump (4 Point) Pother Sathi Service Station (Salanpur) Mob-9732153367,Maa Anjali Hotel (Sudli More),Devi Maa Auto Service Centre (Siduli More) Mob-91537407
2,Paschim Burdwan,Balia Pancham Auto Services (Bharat Petroleum) Mob-7063435251,Arapandip Hotel (NH-2 Siduli More) Mob-9002266058,"Maruti Suzuki Service Station (4 Point L.K Motor) Mob-8436001827, 9091392314"
3,Paschim Burdwan,Westren Motor H.P Petrol Pump (Jubli More),Hotel Pet Puja (Rampur),M.J Movers (4 Point) Mob-91639519
4,Paschim Burdwan,Energy Fuel Station (Indian Oil) Mob-8001174742,Maa Annapurna Hotel (Rampur) Mob-9153822917,Shibnath Auto Services (Kalla More) Mob-9832206689
5,Paschim Burdwan,Damodar Auto (Ningha More) Mob-9475839993,Goldi Dhaba (Jubli More) Mob-8391071827,Sri Ram Motor (Asansol)
6,Paschim Burdwan,Probet Patrol Pump (Punjabi More) Mob-9434008328,Laxmi Dhaba (Baki Danga) Mob-9382577538,"Moti Auto Repairing Shop, Faridpur, Durgapur Mob-9647631096"
7,Paschim Burdwan,Jublee Petrol Pump (Jublee More) Mob-7781882128,Roti Dhaba (Baki Danga),"Nasim Auto Repairing Shop, Faridpur, Durgapur Mob-9593664510"
8,Paschim Burdwan,Pathsaria Petrol Pump (NH-2 Satgram) Mob-9832210523,Shibam Hotel (Baki Danga),"Munna Auto Repairing Centre, Kajora More, Andal Mob-9563786746"
9,Paschim Burdwan,"M.T Automobile Pump, Gandhi More, Durgapur (0343-2545411)",Jalwal Dhaba (Baki Danga) Mob-9547730604,"Friends Automart, NH-1 More, G.T Road, Muchipara, Durgapur Mob-8617367491"
10,Paschim Burdwan,"Saikat Automobile Pump, Near Andal Airport, Gopalmath Mob-9434750244",Hotel Utsav Inn (NH-2 DVC More) Mob-9434389317,
11,Paschim Burdwan,"Harekrishna Petrol Pump, I.O.C Andal Mob-8250359576",Palwan Hotel (J K Nagar) Mob-9547842235,
12,Paschim Burdwan,"Raja Petrol Pump, Gandhi More, Durgapur Mob-9434238057","Mistru Restaurant, Gopalmath, Durgapur Mob-8373078229",
13,Paschim Burdwan,"Sree Hari Petrol Pump, Indo American More, Durgapur Mob-9382232190","Maa Laxmi Yadav Hotel, Kajora More, Andal Mob-9332329311, 8514019231",
14,Paschim Burdwan,"Gorai Fuel Centre, Banskopa More near Toll Plaza Mob-6294288165","Sonu Pahari (Dadu) Hotel, ABL More, Durgapur Mob-8637508934",
15,Paschim Burdwan,"M.T Automobile Pump, Coke Oven, Gandhi More, Durgapur (0343-2545411)",Samthol Bishnoi Hotel,
16,Paschim Burdwan,"Saikat Automobile Pump (HP), Near Andal Airport, Gopalmath Mob-9434750244","Rajasthan Hotel, Rajbandh, Durgapur Mob-6394197264",
17,Paschim Burdwan,"Harekrishna Petrol Pump (IOC), Andal Mob-8250359576","K.K Punjabi Dhaba, Kotu More, Panagarh Mob-9002714200",
18,Paschim Burdwan,"Sree Hari Pump, Indo American More Mob-9382232190",Mistra Restaurant Mob-8373078229,"Tyre Repairing Shop, Gandhi More Mob-8609292249"
19,Paschim Burdwan,"Gorai Fuel Centre near Toll Tax, Banskopa Mob-6294288165","Maa Laxmi Yadav Hotel, Kajora Mob-9332329311, 8514019231","Nasim Auto Repairing, Faridpur Mob-9593664510"
20,Paschim Burdwan,"R.K Pump, Darjeeling More Mob-8609811038","Sonu Pahari Hotel, Indo American More Mob-8637508934","Moti Auto Repairing, Faridpur Mob-9647631096"
21,Paschim Burdwan,"Raja Petrol Pump, Gandhi More Mob-9434238057",Samthal Bishnoi Hotel (Rajasthan Hotel) Rajbandh Mob-6394197264,"Tanu Automobiles, Faridpur Mob-9434132702"
22,Paschim Burdwan,"AMPM Pump, Domra near 4th Mile Mob-9434010551","K.K Punjabi Dhaba, Kotu More (Panagarh) Mob-9002714200","Munna Auto Repairing, Kajora Mob-9563786746"
23,Paschim Burdwan,"Balaji Pump, Domra near 4th Mile Mob-7903637030","Ghosh Dhaba, Trilokchandrapur near Guha Service Station (Indian Oil Pump) Mob-9933421104",
24,Paschim Burdwan,"Guha Pump, Trilokchandrapur Mob-9433201363","Raja Dhaba, Piyariganj, Panagarh Morgram Highway Mob-8348369832",
25,Paschim Burdwan,,"Sundaram Dhaba, Dangal Panagarh State Highway Mob-7718287487",
26,Paschim Burdwan,,"Hotel Paramita, Dangal Basudha Panagarh State Highway",
