S.no,District,Name of petrol pumps with address and contact no.,Name of Dhabas/Hotels with address and contact no.,Name of workshops with address and contact no.
1,Paschim Medinipur,Nundy Brothers Chandrakona Rd 9635608944,Sikandar Singh NH6 9002521919,Bhandari Auto Kharagpur NH6 9800041944
2,Paschim Medinipur,Ideal Filling Station Battala Chok 0322265783,Sukhinder Singh 9434320191,Paraj Motors 7479044766
3,Paschim Medinipur,Ayantika Oil Daspur 9434243372,,Bhandari Auto Kharagpur NH6 9732549889
4,Paschim Medinipur,Indra Automobile Indra Kharagpur 03222225743,,Madan Body Garage NH6 9932049503
5,Paschim Medinipur,Swadeshi Highway Centre Jakpur 9604919873,,Ghanna Body Garage NH6 9332973434
6,Paschim Medinipur,Mahamaya Fuel Station Bhadutala 9474027816,,
7,Paschim Medinipur,Ashoka Service Station Salboni 03227285221,,
8,Paschim Medinipur,Parul Service Station Hosnabad 9932741736,,
9,Paschim Medinipur,Deshbandhu Service Station Indra Kharagpur 03222225632,,
10,Paschim Medinipur,Belda Filling Station 9434105020,,
11,Paschim Medinipur,National Highway Filling Station 9434320094,,
