S.no,District,Name of petrol pumps with address and contact no.,Name of Dhabas/Hotels with address and contact no.,Name of workshops with address and contact no.
1,Purba Medinipur,Shree Krishna Filling Station NH116B Thakurnagar 9730957081,Punaji Dhaba Babalichak 8967792958,Biswakarma Auto Care Balisai Tamralip Cont 9002768000
2,Purba Medinipur,Kalinga Auto Service Station NH116B Kolaghat 9434008113,Hotel Highway Kasupara NH41 9933808864,Mahindra Star India Agencies Haldiya Purba Medinipur 9731253008
3,Purba Medinipur,Hera Fuel NH116B Durgapur 9472006735,Jony Hotel Near Nandakumar 8583961409,Prerna Motors Mahalia Tamralip Cont 9436563222
4,Purba Medinipur,Bhagwati Machine SKUS Fuel Pump NH116B Contai Bypass 9327629657,Sundry Restaurant Kasupara NH41 9732193097,Amanat Auto Care NH6 Radharam Purba Medinipur 9002368907
5,Purba Medinipur,Contai Fuel NH116B Contai Bypass 9731505944,Hotel Sunday Kasupara NH41 9738097765,Satyam Auto Electric Barahaiya Kolaghat Purba Medinipur
6,Purba Medinipur,Contai Oil Station NH116B Contai Central Bus Stand 9932741736,Royal Dhaba Babalichak 9732506572,Ramananda Body Garage Mahalia Purba Medinipur
7,Purba Medinipur,MS Debu Petrol Pump NH116B Contai 9432139785,Shree Radha Hotel Near Nandakumar Contai 9153357990,Manna Garage Kolaghat NH41 Purba Medinipur
8,Purba Medinipur,Prince Fuel Centre Digha Orissa Border 9733458000,Express Food Plaza NH41 Kolaghat Purba Medinipur 7407744462,Munir Rahaman Garage NH41 Ramnagar Tamralip Purba Medinipur 9002713455
9,Purba Medinipur,Civic House Nandakumar Contai 9434516500,Driver Inn Restaurant NH41 Kolaghat Purba Medinipur 8370951071,
10,Purba Medinipur,Maa Annapurna Automobile NH116B Nandakumar 9734386454,Shri Bishnu Hotel & Restaurant NH41 Panisra Purba Medinipur,
11,Purba Medinipur,New Tituman Hotel Contai Rupnarayan Bypass 8001754033,Satyamayan Restaurant Panisra Purba Medinipur,
12,Purba Medinipur,Sandhya Resort Contai Rupnarayan Bypass NH41,SN Hotel Panisra Purba Medinipur 9931508609,
13,Purba Medinipur,Manu Hotel Padmapukur Contai,Sandipa Hotel NH41 Kolaghat Purba Medinipur 9802833511,
14,Purba Medinipur,KEPS Restaurant Central Bus Stand Contai,DPUR Hotel NH41 Tamralip Purba Medinipur 9733603642,
15,Purba Medinipur,Nikita Restaurant Central Bus Stand Contai,Sathi Hotel NH41 Purba Medinipur Contai 7047272777,
16,Purba Medinipur,Haldia Traders Company NH41 Haldia Dock Purba Medinipur 9862477131,Shree Bengal Restaurant NH41 Kolaghat Purba Medinipur 9002196937,
17,Purba Medinipur,Indian Oil Petrol Pump Ramnagar Nandakumar Purba Medinipur 9434369085,Star India NH41 Ramnagar Purba Medinipur 9153503099,
18,Purba Medinipur,Maa Basantamma Filling Station Haldia Dock Purba Medinipur,Hotel Royal Landmark NH41 Kolaghat Purba Medinipur 9987930426,
19,Purba Medinipur,Satyamayan Service Station Kolaghat Purba Medinipur 0322825681,,
20,Purba Medinipur,Gitanjali Filling Station Nandakumar Dock Kolaghat Purba Medinipur 9474759297,,
21,Purba Medinipur,Bhowmik Krishi Seva Kendra Dhankhal Panchkura Tamralip Purba Medinipur 9083505858,,
22,Purba Medinipur,Tara Maa Fuel Station Mahisadal Haldia Road Purba Medinipur 9434386184,,
23,Purba Medinipur,Bharat Petroleum Petrol Pump Naupala Mecheda Tamralip Purba Medinipur 8672174121,,
24,Purba Medinipur,Emergency Fuel Station Ayapara Mecheda Purba Medinipur 8672134214,,
25,Purba Medinipur,Nandakumar IOC Petrol Pump Mahisadal Mecheda Purba Medinipur 9732427610,,
26,Purba Medinipur,Indian Oil Petrol Pump Near Mahisadal Tamralip Mecheda Purba Medinipur 7002157043,,
27,Purba Medinipur,Potara Filling Point Jagannathpur Mahisadal Purba Medinipur,,
28,Purba Medinipur,,,
29,Purba Medinipur,,,
