S.no,District,Name of petrol pumps with address and contact no.,Name of Dhabas/Hotels with address and contact no.,Name of workshops with address and contact no.
1,Purulia,Shea Saran Lal Lilu B T Sarkar Rd Ph 9434001147,Samir Line Hotel Ph 9932874994,SK Karim Ph 8637377377
2,Purulia,S Das & Sons Ranchi Rd Ph 9832146822,Trioti Line Hotel Ph 9800334773,Khan Mistri Ph 9932731707
3,Purulia,Sankar Auto Service Manguriya Ph 8159032840,Rana Hotel Ph 8250673157,Sahadeb Garage Ph 9932959660
4,Purulia,Ram Bhagat Bhari Prasad Taxi Stand Ph 9332385109,Pushpa Hotel Ph 9064051759,Sarbari More Garage Ph 9851421785
5,Purulia,Jain Auto Mobile Taxi Stand Ph 9434013489,Puja Hotel Ph 9004088043,Kalu Garage Ph 8001720963
6,Purulia,Sunil Motors Dulmi Nadhya Ph 7001893571,Kunal Hotel Ph 9676598458,Maa Santoshi Garage Ph 9775700739
7,Purulia,Feel & Fill Petro Pvt Ltd Ludhurdha Ph 9434001147,Abhoy Hotel Ph 8972672896,Kismat Garage Ph 8972029766
8,Purulia,Ram Krishna Service Station Hura Ph 7076505556,Charra Line Hotel Ph 9564901169,Garage near Santi Tripti Hotel Ph 9635287703
9,Purulia,,Lmundi Pandey Hotel Ph 9800968450,
10,Purulia,,Ghonga Pandey Hotel Ph 9933520545,
11,Purulia,,Santi Tripti Hotel Ph 9644919131,
12,Purulia,,Gope Hotel Ph 8697092913,
13,Purulia,Ghoshal Auto Filling Block Danga Purulia Barakar Road Ph 7872581522,Laha Hotel Purulia Barakar Road Contact 8116077219,Dislab Repairing Centre Anara Ph 9732388254
14,Purulia,Mandal Auto Filling Raghunathpur Barakar Road 9434023701,Taj Hotel Purulia Barakar Road Contact 7908304429,Mahfuz Repairing Centre Purulia Barakar Road Contact 6296765276
15,Purulia,Everfine Auto Filling Sarbari More Neturia 8016707077,Ranjit Hotel & Dhabas Sarbari More Neturia Contact 9800272633,Mondal Mechanic Shop Raghunathpur Contact 9732252155
16,Purulia,Sarkel Petrol Pump Pahariagora Para 9547759891,Annapurna Hindu Hotel Jhapa More Contact 9800472048,Parbes Repairing Center Purulia Barakar Rd Contact 9046167487
17,Purulia,Narayan H P Petrol Pump Anara 9932319044,Banka Hindu Hotel Dubra Para,Ansari Machine Centre Dubra Para Contact 9082993338
18,Purulia,Pahariagora Petrol Pump Pahariagora Para 9547759891,Suraj Hotel Neturia Contact 9933483476,Firoj Repairing Centre Raghunathpur Barakar Contact 9947450866
19,Purulia,,,Kalim Garage Raghunathpur Purulia Rd Contact 9635895326
20,Purulia,,,SN Auto Anirban Gupta Purulia Barakar Rd Contact 8140503006
21,Purulia,,,Khan Garage Purulia Barakar Rd Contact 9932731707
