S.no,District,Name of petrol pumps with address and contact no.,Name of Dhabas/Hotels with address and contact no.,Name of workshops with address and contact no.
1,S24,Reliance Pump at Khariberia,DEBUR HOTEL Sultanpur Diamond Harbour Ph 9933002030,BHANDARY WORKSHOP Sultanpur Diamond Harbour Ph 9073384910
2,S24,Reliance Pump at Razarhat,LOKNATH HINDU HOTEL New Madhabpur Nagendrabazar Diamond Harbour Ph 9434026064 / 9563957817,Hira Auto Centre Lalpool Diamond Harbour Ph 9434566357
3,S24,HP Pump at USTHI,GHARANA HOTEL Down Town Diamond Harbour Ph 8972191516,Jharna Tyre and Service 76 Bus Stand Diamond Harbour Ph 9474155820
4,S24,HP Pump at Dostipur,Mahamaya Hotel & Restaurant near bus stand Kakdwip West Bengal 743347 Ph 9043950288,Bimala Engineering Workshop Machine workshop Kakdwip West Bengal
5,S24,HP Pump at DH(BATA),Hotel Shivam Food Court Kakdwip West Bengal 743347 Ph 9126369426,Radhagovinda Engineering Workshop Kakdwip West Bengal
6,S24,HP Pump at Kulpi,Hotel Boishaki Bus Stand Kakdwip SD 19 743347 Ph 9932683344,HABIB SERVICE CENTRE Castrol Bikepoint Kakdweep Rath Tola Samsan Ghat Kakdwip West Bengal 743347 Ph 09932634092
7,S24,HP Pump at Natuna Rasta,,Shah Honda Ashirvad Rathtala Kakdwip 24 Parganas South West Bengal 743347 Ph 07872854046
8,S24,Reliance pump at Lot 8,,Bipul Garage Kamalganj South 24 Parganas 700103 Ph 9830413750
9,S24,HP Pump at Kakdeep (Near SBI),,Milan/Subhas Khasmallick Baruipur South 24 Parganas Ph 8981430655 / 7003555217
10,S24,HP/IOC/Reliance at Namkhana,,Manna Workshop TATA Prop Dhiman Manna Baruipur South 24 Parganas Ph 8584068296 / 7595055704
11,S24,HP Pump at Kachuberia Ashrammore,,Pailan Body Builders Pailan South 24 Parganas Ph 9748104438
12,S24,Petrol Pump near Rundranagar BDO,,
13,S24,IOC Pump at Kalinagar,M/S Bishnu Oil 147 Diamond Harbour Rd Diamond Harbour Ph 9748409182 / 9749756227,
14,S24,Bata Pump Diamond Harbour Ph 8159948117,,
15,S24,HP Pump Roychak Diamond Harbour Ph 9433209314,,
16,S24,HP Pump Gangaramur Bishnupur Diamond Harbour Ph 9830116364,,
17,S24,HP Petrol Pump Kakdwip West Bengal Ph 09732545854,,
18,S24,,,
19,S24,GHOSH SERVICE CENTER Indian Oil Kakdwip West Bengal Ph 09531581967,,
20,S24,Swami Vivekananda Grampanchayet Petrol Pump Kakdwip West Bengal,,
21,S24,PFT MOBILE POINTE Petrol Pump Kakdwip West Bengal,,
22,S24,Sumon Petrol Pump Akshyanagar West Bengal,,
23,S24,KAKDWIP OIL CENTRE (IOC) Petrol Pump Kakdwip West Bengal,,
24,S24,Reliance Pump Kalinagar West Bengal,,
25,S24,JASH SERVICE STATION Akshyanagar West Bengal,,
26,S24,Indian Oil Gas Station Petrol Pump Kasinagar West Bengal,,
27,S24,HP Petrol Pump Kolkata West Bengal Ph 09339905600,,
28,S24,Baruipur Oil Station Ukilpara Rd Railgate Baruipur Ph 789082733,,
29,S24,Saha Pump Near 218 Bus Stand Baruipur South 24 Parganas Ph 9903000124,,
30,S24,Sundarban Service Station Canning South 24 Parganas Ph 9434500527,,
31,S24,Bharat Petrol Pump Canning Basanti Rd Kathalberia South 24 Parganas 743329 Ph 9732520105,,
32,S24,Tridev Service Station Pailan South 24 Parganas Ph 8240388651 / 9433014831,,
33,S24,K C Paul Service Station Budge Budge South 24 Parganas Ph 9681244927,,
34,S24,Auto Car Service Station Budge Budge South 24 Parganas Ph 9831849070 / 9874141746,,
35,S24,Budge Budge Service Station Budge Budge South 24 Parganas Ph 9143297448,,
36,S24,Radha Rani Petrol Pump Budge Budge South 24 Parganas Ph 9674136792,,
37,S24,Om Auto Petrol Pump Budge Budge South 24 Parganas Ph 8336927945,,
38,S24,P M Enterprise Budge Budge South 24 Parganas Ph 9051095159,,
39,S24,Suparna Filling Station Maheshtala South 24 Parganas Ph 9433034907,,
40,S24,Tarun Service Station Amtala South 24 Parganas Ph 9830292308,,
41,S24,Rintu Service Station Amtala South 24 Parganas Ph 9437126613,,
42,S24,Sampark Pump Amtala South 24 Parganas Ph 9330330530,,
43,S24,Khariberia Reliance Pump Khariberia Amtala South 24 Parganas Ph 9525403235,,
44,S24,Rahul Service Station Khariberia Amtala South 24 Parganas Ph 9748465651,,
