S.no,District,Petrol Pumps,Dhabas/Hotels,Workshops
1,Uttar Dinajpur,"LOKNATH FUEL, ITAHAR, 9434052728","HOTEL HINDUSTHAN, BANGER NATIONAL PARKING, ITAHAR","MATIUR RAHAMAN (7001915829 / 9679706646), AMRITA MOTOR WORKS CENTRE"
2,Uttar Dinajpur,"M/S K.C. MITRA, RAIGANJ, 8250182799","HOTEL GANDHER, RAIGANJ (NAGAR), 8945950010","AMAR GARAGE, NEAR EMBASSY HOTEL RAIGANJ, 9933547394"
3,Uttar Dinajpur,"M/S MS FUEL PETROL PUMP, PATHNOR (DOMONA), 8759557286","DILIP AUTOMOBILES, PATHNOR (DOMONA), 9800900560",
4,Uttar Dinajpur,"M/S PANISHAL PETROLIUM, BARODUARI NH-34, 8918761506",,
5,Uttar Dinajpur,"M/S PANISHAL PETROLIUM, BARODUARI NH-34, 8918761506","BANGALI DHABA, SRI KRISHNAPUR, ISLAMPUR, 8250861363",
6,Uttar Dinajpur,"SIHOTIA SERVICE STATION, ISLAMPUR, 3526255058","BIHARI DHABA, ALIGANJ ISLAMPUR, 7602627680",
7,Uttar Dinajpur,"MAA BASANTI SERVICE CENTRE, ISLAMPUR, 9434055098 / 9434045901","DINESH HOTEL, DHANTOLA, ISLAMPUR, 8972029245",
8,Uttar Dinajpur,"BABA RAMDEV, ALIGANJ, ISLAMPUR, 9832430434","MAHDI HOTEL, KALIBARI, PANJIPARA, 9002540963",
9,Uttar Dinajpur,"MAA DURGA PUMP, DHANTOLA, ISLAMPUR, 8759404573","RAM SINGH DHABA, KALIBARI, PANJIPARA, 9932677536",
10,Uttar Dinajpur,,"MADHU HOTEL, COLLEGE MORE, ISLAMPUR, 9933668802",
