Sr No.,District,Service
1,Nadia,Geeta Fuel Point Kalyani 7003192813
2,Nadia,Panthika Hotel Kalyani More NH34 9609119742
3,Nadia,Local Garage Kalyani More 3478867321
4,Nadia,Popular Fuel Pump Kalyani 9734817661
5,Nadia,Maa Tara Hotel Chakdaha NH34 8438739963
6,Nadia,Local Garage Birbhum More NH34 9830084642
7,Nadia,K D Rampogal Jaguli More NH34 9830834804
8,Nadia,Maa Durga Hotel Bhadurgur Dubulia Nadia
9,Nadia,Raj Motors Works Dubulia Nadia
10,Nadia,Maa Manasha Fuel Pump Kalyani More NH34 9732773554
11,Nadia,Tara Maa Hotel Pranab Ghosh Hanskhali Road
12,Nadia,KTN Auto Parts Krishnanagar Nadia
13,Nadia,Debdatta Service Station Birohi More NH34 7908134833
14,Nadia,Kali Maa Hotel Birohi Ghosh Bhadurburi Nadia
15,Nadia,Bengal Tyre Service Birohi Nadia
16,Nadia,Reliance Petrol Pump Birohi Chakdaha NH34 7908193826
17,Nadia,Nichakal Hotel Birohi Bhadurburi Dubulia Nadia
18,Nadia,Rousid Motors Nadia
19,Nadia,Sadananda Singh and Bros Chakdaha More NH34 9600111752
20,Nadia,Ghosh Hotel P Santosh Ghosh Mayapur More Nadia
21,Nadia,National Tyre Service Pvt Ltd NH34
22,Nadia,Nichakal Fuels Indian Oil Ramkrishna Roy 9430457500
23,Nadia,Bholanath Dhaba Mayapur More Nadia
24,Nadia,Salam Tyres MD Prabhatnagar Fulia Nadia
25,Nadia,Parbati Sankar Filling Station Dinabandhu Paul 9434199038
26,Nadia,Golden Dhaba P Megha Ghosh Mayapur More Nadia
27,Nadia,NB Petrol Service Bhatpara Highway Swapan K Bell 9434158693
28,Nadia,Suri Maa Ghosh Hotel Dipankar Ghosh Haringhata Nadia
29,Nadia,Biswas Oil Trading Indian Oil Mirjapur 6297481983
30,Nadia,Hotel Ramnagar P Nirmal Saha Dubulia
31,Nadia,Poraswach Chatterjee Bharat Petroleum 9735817290
32,Nadia,Tara Maa Hotel Shambhu Sarkar Dubulia
33,Nadia,Debnath Fuel Centre Debagram Nadia 9434825642
