Sr No.,District,Service,full_address,Latitude,Longitude
1,Nadia,Geeta Fuel Point Kalyani 7003192813,"Geeta Fuel Point Kalyani 7003192813, petrol pump, Nadia, West Bengal, India",22.9638394,88.42530730000001
2,Nadia,Panthika Hotel Kalyani More NH34 9609119742,"Panthika Hotel Kalyani More NH34 9609119742, restaurant, Nadia, West Bengal, India",22.9677583,88.5456955
3,Nadia,Local Garage Kalyani More 3478867321,"Local Garage Kalyani More 3478867321, auto repair, Nadia, West Bengal, India",22.9677583,88.5456955
4,Nadia,Popular Fuel Pump Kalyani 9734817661,"Popular Fuel Pump Kalyani 9734817661, petrol pump, Nadia, West Bengal, India",22.9747271,88.43372099999999
5,Nadia,Maa Tara Hotel Chakdaha NH34 8438739963,"Maa Tara Hotel Chakdaha NH34 8438739963, restaurant, Nadia, West Bengal, India",23.0765247,88.5293319
6,Nadia,Local Garage Birbhum More NH34 9830084642,"Local Garage Birbhum More NH34 9830084642, auto repair, Nadia, West Bengal, India",24.3587525,87.8402888
7,Nadia,K D Rampogal Jaguli More NH34 9830834804,"K D Rampogal Jaguli More NH34 9830834804, Nadia, West Bengal, India",23.2587912,88.5373693
8,Nadia,Maa Durga Hotel Bhadurgur Dubulia Nadia,"Maa Durga Hotel Bhadurgur Dubulia Nadia, restaurant, Nadia, West Bengal, India",23.3641788,88.7121708
9,Nadia,Raj Motors Works Dubulia Nadia,"Raj Motors Works Dubulia Nadia, Nadia, West Bengal, India",23.4923702,88.45322949999999
10,Nadia,Maa Manasha Fuel Pump Kalyani More NH34 9732773554,"Maa Manasha Fuel Pump Kalyani More NH34 9732773554, petrol pump, Nadia, West Bengal, India",22.9797518,88.43771369999999
11,Nadia,Tara Maa Hotel Pranab Ghosh Hanskhali Road,"Tara Maa Hotel Pranab Ghosh Hanskhali Road, restaurant, Nadia, West Bengal, India",23.3348669,88.648285
12,Nadia,KTN Auto Parts Krishnanagar Nadia,"KTN Auto Parts Krishnanagar Nadia, Nadia, West Bengal, India",23.4013101,88.50211519999999
13,Nadia,Debdatta Service Station Birohi More NH34 7908134833,"Debdatta Service Station Birohi More NH34 7908134833, Nadia, West Bengal, India",22.9717907,88.5058707
14,Nadia,Kali Maa Hotel Birohi Ghosh Bhadurburi Nadia,"Kali Maa Hotel Birohi Ghosh Bhadurburi Nadia, restaurant, Nadia, West Bengal, India",23.4404055,88.4639693
15,Nadia,Bengal Tyre Service Birohi Nadia,"Bengal Tyre Service Birohi Nadia, Nadia, West Bengal, India",23.5357681,88.5474832
16,Nadia,Reliance Petrol Pump Birohi Chakdaha NH34 7908193826,"Reliance Petrol Pump Birohi Chakdaha NH34 7908193826, petrol pump, Nadia, West Bengal, India",22.9930046,88.5384045
17,Nadia,Nichakal Hotel Birohi Bhadurburi Dubulia Nadia,"Nichakal Hotel Birohi Bhadurburi Dubulia Nadia, restaurant, Nadia, West Bengal, India",22.9930046,88.5384045
18,Nadia,Rousid Motors Nadia,"Rousid Motors Nadia, Nadia, West Bengal, India",23.4709656,88.55653099999999
19,Nadia,Sadananda Singh and Bros Chakdaha More NH34 9600111752,"Sadananda Singh and Bros Chakdaha More NH34 9600111752, Nadia, West Bengal, India",23.0796201,88.53328309999999
20,Nadia,Ghosh Hotel P Santosh Ghosh Mayapur More Nadia,"Ghosh Hotel P Santosh Ghosh Mayapur More Nadia, restaurant, Nadia, West Bengal, India",23.4595304,88.4544837
21,Nadia,National Tyre Service Pvt Ltd NH34,"National Tyre Service Pvt Ltd NH34, Nadia, West Bengal, India",23.3379913,88.4651525
22,Nadia,Nichakal Fuels Indian Oil Ramkrishna Roy 9430457500,"Nichakal Fuels Indian Oil Ramkrishna Roy 9430457500, petrol pump, Nadia, West Bengal, India",23.1755702,88.7115553
23,Nadia,Bholanath Dhaba Mayapur More Nadia,"Bholanath Dhaba Mayapur More Nadia, restaurant, Nadia, West Bengal, India",23.4595304,88.4544837
24,Nadia,Salam Tyres MD Prabhatnagar Fulia Nadia,"Salam Tyres MD Prabhatnagar Fulia Nadia, Nadia, West Bengal, India",23.220496,88.50817649999999
25,Nadia,Parbati Sankar Filling Station Dinabandhu Paul 9434199038,"Parbati Sankar Filling Station Dinabandhu Paul 9434199038, Nadia, West Bengal, India",23.4156333,88.50784689999999
26,Nadia,Golden Dhaba P Megha Ghosh Mayapur More Nadia,"Golden Dhaba P Megha Ghosh Mayapur More Nadia, restaurant, Nadia, West Bengal, India",23.4595304,88.4544837
27,Nadia,NB Petrol Service Bhatpara Highway Swapan K Bell 9434158693,"NB Petrol Service Bhatpara Highway Swapan K Bell 9434158693, petrol pump, Nadia, West Bengal, India",23.0918128,88.5987961
28,Nadia,Suri Maa Ghosh Hotel Dipankar Ghosh Haringhata Nadia,"Suri Maa Ghosh Hotel Dipankar Ghosh Haringhata Nadia, restaurant, Nadia, West Bengal, India",23.0331322,88.5343432
29,Nadia,Biswas Oil Trading Indian Oil Mirjapur 6297481983,"Biswas Oil Trading Indian Oil Mirjapur 6297481983, Nadia, West Bengal, India",23.716274,88.2950877
30,Nadia,Hotel Ramnagar P Nirmal Saha Dubulia,"Hotel Ramnagar P Nirmal Saha Dubulia, restaurant, Nadia, West Bengal, India",23.4923702,88.45322949999999
31,Nadia,Poraswach Chatterjee Bharat Petroleum 9735817290,"Poraswach Chatterjee Bharat Petroleum 9735817290, petrol pump, Nadia, West Bengal, India",23.1755702,88.7115553
32,Nadia,Tara Maa Hotel Shambhu Sarkar Dubulia,"Tara Maa Hotel Shambhu Sarkar Dubulia, restaurant, Nadia, West Bengal, India",23.4923702,88.45322949999999
33,Nadia,Debnath Fuel Centre Debagram Nadia 9434825642,"Debnath Fuel Centre Debagram Nadia 9434825642, petrol pump, Nadia, West Bengal, India",23.6886494,88.3093517
34,Nadia,Swapna Roy Dhaba Haringhata Nadia,"Swapna Roy Dhaba Haringhata Nadia, restaurant, Nadia, West Bengal, India",22.9605105,88.5674032
35,Nadia,Kundu Fueling Station Indian Oil Sujit Kundu 9434054219,"Kundu Fueling Station Indian Oil Sujit Kundu 9434054219, petrol pump, Nadia, West Bengal, India",23.1912184,88.56136339999999
36,Nadia,Hotel Bishnudev Bairagya,"Hotel Bishnudev Bairagya, restaurant, Nadia, West Bengal, India",23.4709656,88.55653099999999
37,Nadia,Jaganath Fuel Station Hundaymore Petrol Pump Debasree Saha 9732600722,"Jaganath Fuel Station Hundaymore Petrol Pump Debasree Saha 9732600722, petrol pump, Nadia, West Bengal, India",23.1755702,88.7115553
38,Nadia,New Apyan Hotel Jugger Bazar Nadia,"New Apyan Hotel Jugger Bazar Nadia, restaurant, Nadia, West Bengal, India",22.9635231,88.5731789
39,Nadia,SS Sayan Baba Service Station Rajesh Agarwal 9932979526,"SS Sayan Baba Service Station Rajesh Agarwal 9932979526, Nadia, West Bengal, India",23.4709656,88.55653099999999
40,Nadia,Maa Tara North Dhaba Haringhata Nadia,"Maa Tara North Dhaba Haringhata Nadia, restaurant, Nadia, West Bengal, India",22.9608232,88.54423899999999
41,Nadia,Maa Sarada Fuel Indian Oil Block C Chandraghata 9434159199,"Maa Sarada Fuel Indian Oil Block C Chandraghata 9434159199, petrol pump, Nadia, West Bengal, India",23.612321,88.38129459999999
42,Nadia,Highway Dhaba P Anupam Tiwary Panighata Nadia,"Highway Dhaba P Anupam Tiwary Panighata Nadia, restaurant, Nadia, West Bengal, India",23.7211817,88.2923363
43,Nadia,Krishna Bhadra Reliance Krishna Bhadra 9434105424,"Krishna Bhadra Reliance Krishna Bhadra 9434105424, Nadia, West Bengal, India",23.4709656,88.55653099999999
44,Nadia,Grand Restaurant P Anindul Haque Debagram Nadia,"Grand Restaurant P Anindul Haque Debagram Nadia, Nadia, West Bengal, India",23.6886494,88.3093517
45,Nadia,Auto Agro Filling Station IOC Srinath Paul 9434487261,"Auto Agro Filling Station IOC Srinath Paul 9434487261, Nadia, West Bengal, India",23.0378861,88.4925183
46,Nadia,Mridha Hotel Bethuadahari Nadia,"Mridha Hotel Bethuadahari Nadia, restaurant, Nadia, West Bengal, India",23.5934791,88.3994749
47,Nadia,S Garai Brothers IOCL Anath Bandhu Garai 9832309000,"S Garai Brothers IOCL Anath Bandhu Garai 9832309000, Nadia, West Bengal, India",23.3697129,88.482689
48,Nadia,Sankar Hotel Bethuadahari Nadia,"Sankar Hotel Bethuadahari Nadia, restaurant, Nadia, West Bengal, India",23.605499,88.3886696
49,Nadia,Basanti Burner Service Monoj Ghosh 9832055363,"Basanti Burner Service Monoj Ghosh 9832055363, Nadia, West Bengal, India",23.4709656,88.55653099999999
50,Nadia,Ghosh Mahasay Hessel Bholadangga Nadia,"Ghosh Mahasay Hessel Bholadangga Nadia, Nadia, West Bengal, India",23.4709656,88.55653099999999
51,Nadia,Kamala Service Station Chittoj Gopal Pal 9433219793,"Kamala Service Station Chittoj Gopal Pal 9433219793, Nadia, West Bengal, India",23.2712301,88.4369701
52,Nadia,Hotel Green Valley Gacha Nadia,"Hotel Green Valley Gacha Nadia, restaurant, Nadia, West Bengal, India",23.2908325,88.4209249
53,Nadia,Adwaita Auto Service IOC Ashim K Paul 7908641037,"Adwaita Auto Service IOC Ashim K Paul 7908641037, Nadia, West Bengal, India",23.8203418,88.541039
54,Nadia,Hotel Honeymoon Mayapur Nadia,"Hotel Honeymoon Mayapur Nadia, restaurant, Nadia, West Bengal, India",23.4232013,88.38826399999999
55,Nadia,Ghosh Brothers Filling Station Ashok Ghosh 7010056927,"Ghosh Brothers Filling Station Ashok Ghosh 7010056927, Nadia, West Bengal, India",23.4171454,88.6976348
56,Nadia,Tara Maa Hotel Bishwajit Dey Nabadvip More,"Tara Maa Hotel Bishwajit Dey Nabadvip More, restaurant, Nadia, West Bengal, India",23.4076836,88.3816969
57,Nadia,Paulson Highway Filling Station Bharat Petroleum Gunakar Paul 9933513050,"Paulson Highway Filling Station Bharat Petroleum Gunakar Paul 9933513050, petrol pump, Nadia, West Bengal, India",23.2183019,88.50801630000001
58,Nadia,Pantha Tirtha P Gandhi Kundu Krishnanagar Nadia,"Pantha Tirtha P Gandhi Kundu Krishnanagar Nadia, Nadia, West Bengal, India",23.3879774,88.488404
59,Nadia,Maa Durga Fuel Station Bhabataru Bhawmick 8170031472,"Maa Durga Fuel Station Bhabataru Bhawmick 8170031472, petrol pump, Nadia, West Bengal, India",23.3486636,88.6308825
