demand_index,candidate_index,demand_district,demand_service,demand_category,hub_district,hub_service,hub_category,q_i,w_i,distance_km,travel_time_minutes
5,0,Birbhum,Sree Dhaba Mallarpur [aggregated node],Food/Lodging,Murshidabad,Mahabani Filling Station Sagardighi 9432093509,Fuel Station,11.15730689023739,2.0980767225593473,45.01884267471058,111.9168428893305
6,0,Birbhum,Reliance Filling Station Rampurhat Munsuba [aggregated node],Food/Lodging,Murshidabad,Mahabani Filling Station Sagardighi 9432093509,Fuel Station,184.76691024379824,2.1605767225593473,27.97288802354295,69.54059962652778
22,0,Murshidabad,May Filling Station Khargram 9432139097 [aggregated node],Fuel Station,Murshidabad,Mahabani Filling Station Sagardighi 9432093509,Fuel Station,107.90364092271679,2.2548233589643556,39.48415798735356,102.50087413516985
23,0,Murshidabad,MD Ghosh Filling Station Farakka 9434124831 [aggregated node],Fuel Station,Murshidabad,Mahabani Filling Station Sagardighi 9432093509,Fuel Station,706.1909394847786,2.2197122478532445,14.208668859450814,36.885704359134316
0,2,Alipurduar,RG Petrol Pump Pro Avik Paul Nimti Chowpathi Kalchini Alipurduar 9735055998 [aggregated node],Food/Lodging,Murshidabad,SM Motors Sargachi,Vehicle Repair,221.70183129729037,2.0490853912161295,261.4678971702186,897.3578230881901
1,2,Alipurduar,Maa Krishna Service Station Pro Subrata Roy Dakshin Satali Alipurduar 9800815464 [aggregated node],Food/Lodging,Murshidabad,SM Motors Sargachi,Vehicle Repair,121.5297572135097,2.0431763003070387,263.00418141415025,902.6303506133636
7,2,Dakshin Dinajpur,Patha Sathi Patiram Thinkona More Balurghat [aggregated node],Other,Murshidabad,SM Motors Sargachi,Vehicle Repair,74.7295629136697,1.9503415326310605,109.78317366603694,316.39510650551847
8,2,Dakshin Dinajpur,PK Automobiles Khanpur 9733341570 [aggregated node],Vehicle Repair,Murshidabad,SM Motors Sargachi,Vehicle Repair,11.747080416238528,2.1217701040596317,120.57122885039009,413.80045741453876
9,2,Darjeeling,Gourango Shil Goshpukur Main Road Moilani Jote 8945972827 [aggregated node],Fuel Station,Murshidabad,SM Motors Sargachi,Vehicle Repair,190.79458366732396,1.8008497850963683,210.20294575291572,869.3993836340594
10,2,Darjeeling,Maheswari Auto Service Lebong Cart Rd 2253239 [aggregated node],Vehicle Repair,Murshidabad,SM Motors Sargachi,Vehicle Repair,646.1981151249519,1.8617665932457739,240.06232889794077,992.8977923218831
16,2,Jalpaiguri,Nanu Garage LRP More [aggregated node],Vehicle Repair,Murshidabad,SM Motors Sargachi,Vehicle Repair,184.6497942571484,1.9633057978992412,224.7109990290366,786.03907460357
17,2,Jalpaiguri,Fulbari Petrol Pump Fulbari 9832300906 [aggregated node],Other,Murshidabad,SM Motors Sargachi,Vehicle Repair,114.41310216639013,1.8896159583270489,241.6729188294574,845.3718700654418
19,2,Kalimpong,Ratiram Banshilal Petrol Pump 10th mile Kalimpong Phno 9832047800 [aggregated node],Fuel Station,Murshidabad,SM Motors Sargachi,Vehicle Repair,124.61049272608837,2.1050111983201902,265.9831171301047,1111.8094296038378
20,2,Malda,Reliance Petro Marketing Pvt Ltd Pandua [aggregated node],Other,Murshidabad,SM Motors Sargachi,Vehicle Repair,214.70887369211528,2.1060378117383594,44.881601789698145,111.57566204918959
21,2,Malda,MS Bengal Oil Company Narayanpur [aggregated node],Fuel Station,Murshidabad,SM Motors Sargachi,Vehicle Repair,46.21502604044532,2.146564127527833,83.72596139927619,241.29822075271395
35,2,Uttar Dinajpur,HOTEL HINDUSTHAN BANGER NATIONAL PARKING ITAHAR [aggregated node],Food/Lodging,Murshidabad,SM Motors Sargachi,Vehicle Repair,10.858866857394547,2.0234667143486367,75.24738271337746,216.86295697995385
36,2,Uttar Dinajpur,LOKNATH FUEL ITAHAR 9434052728 [aggregated node],Food/Lodging,Murshidabad,SM Motors Sargachi,Vehicle Repair,214.3184702904964,2.090835135401268,146.77016183570174,503.71519542012834
12,8,Hooghly,Shiv Shankar Dhaba Khaldhar Gurap Mob7063301291 [aggregated node],Food/Lodging,South 24 Parganas,Om Auto Petrol Pump Budge Budge South 24 Parganas Ph 8336927945,Fuel Station,356.8364270784203,1.8991281402825024,11.97328054120537,33.585051918081064
14,8,Hooghly,Renu Service Station at Basipur Gurap Hooghly Mob9143040928 [aggregated node],Vehicle Repair,South 24 Parganas,Om Auto Petrol Pump Budge Budge South 24 Parganas Ph 8336927945,Fuel Station,414.0807545899527,1.9186907345509792,34.72809533556447,97.41230741625833
15,8,Howrah,Sen Service Station 9007968248 [aggregated node],Fuel Station,South 24 Parganas,Om Auto Petrol Pump Budge Budge South 24 Parganas Ph 8336927945,Fuel Station,477.91368427932815,1.7704618972881674,3.716057076597864,11.241072656708539
24,8,Nadia,Hotel Krishna Kanan Kalyani NH34 [aggregated node],Food/Lodging,South 24 Parganas,Om Auto Petrol Pump Budge Budge South 24 Parganas Ph 8336927945,Fuel Station,21.792463734328955,2.032807966791119,13.130891032187387,36.10995033851532
25,8,Nadia,Geeta Fuel Point Kalyani 7003192813 [aggregated node],Food/Lodging,South 24 Parganas,Om Auto Petrol Pump Budge Budge South 24 Parganas Ph 8336927945,Fuel Station,873.1560856388293,2.080500274483427,80.63467133493074,253.6766760196921
33,8,South 24 Parganas,Reliance Pump at Khariberia [aggregated node],Fuel Station,South 24 Parganas,Om Auto Petrol Pump Budge Budge South 24 Parganas Ph 8336927945,Fuel Station,675.4024581829748,2.230580956942872,41.58205501205337,118.92467733447263
11,21,Hooghly,HP Pump Kantai Ph9933442081 [aggregated node],Fuel Station,Paschim Medinipur,Sukhinder Singh 9434320191,Other,20.99773100461296,1.8997163755766202,83.26275684439845,246.37449750257503
13,21,Hooghly,Biswakarma Motor Garage Sugandhya opposite Jaya Biscuit Company OwnerBhagaban Shaw9131195964 [aggregated node],Fuel Station,Paschim Medinipur,Sukhinder Singh 9434320191,Other,116.11252052537128,1.908807284667529,49.81474111561534,127.67518147932213
18,21,Jhargram,Guin Brothers Lodhasuli Jhargram 721513 8001200461 [aggregated node],Vehicle Repair,Paschim Medinipur,Sukhinder Singh 9434320191,Other,307.15960368260875,1.8177883640217398,50.1519192111541,119.16096004570217
28,21,Paschim Medinipur,Nundy Brothers Chandrakona Rd 9635608944 [aggregated node],Fuel Station,Paschim Medinipur,Sukhinder Singh 9434320191,Other,210.37458476755228,2.1843692328826703,11.361128564826087,26.994041470026787
29,21,Purba Medinipur,Punaji Dhaba Babalichak 8967792958 [aggregated node],Food/Lodging,Paschim Medinipur,Sukhinder Singh 9434320191,Other,360.7828121157438,1.9470059714392927,54.623206442976816,129.78473850851293
30,21,Purba Medinipur,Shree Krishna Filling Station NH116B Thakurnagar 9730957081 [aggregated node],Food/Lodging,Paschim Medinipur,Sukhinder Singh 9434320191,Other,756.9646131794725,1.9794093327838302,57.695935993244944,137.08554391995
34,21,South 24 Parganas,HP Pump at DHBATA [aggregated node],Fuel Station,Paschim Medinipur,Sukhinder Singh 9434320191,Other,47.098418118103496,2.2186511323814684,67.16925601753987,202.44813763686517
2,24,Bankura,MS Santima Filling Station Bhedua Mob9475167241 MS Jit Filling Station Sankarhati Mob9800111779 MS Standard Automobiles Gobinda Nagar Mob9732012797 MS Balabux Kanahaiyalal Petrol Pump Bankura Mob9434013665 Rambhagat Hariogopal Bima More Mob9748666555 Rambhagat Rani Prasad Machantala Lalji Raja  Sons Dhaldanga Mob9732524442 [aggregated node],Fuel Station,Birbhum,Mahindra Service Center Chakpara,Vehicle Repair,517.3070141777839,2.078869642270565,38.89354216577356,92.411056185878
3,24,Birbhum,Sani Service Station Plot No 55 1419 18  21 Lno Mouza Tilpara PS Suri Mob 9434006220 [aggregated node],Fuel Station,Birbhum,Mahindra Service Center Chakpara,Vehicle Repair,289.05767225593473,2.1628767225593473,38.33001566002307,91.07211720821483
