name,type,address,latitude,longitude
Dulichand Motors Pvt Ltd-Maniktala,Service Centre,"242/1A Himadri Building, Acharya Prafulla Chandra Road, Maniktala, Kolkata, 700004",22.603632,88.379958
Dulichand Motors-EM Bypass,Service Centre,"686 Shrachi Tower EM Bypass, Near Ruby Hospital, Kolkata, 700107",22.51525,88.401191
K B Motors Pvt. Ltd. - Mominpur,Service Centre,"2/3 Judges Court Road, Alipur, Kolkata, 700027",22.535007,88.332688
Kb Motors-Ballygunge,Service Centre,"63C Ballygunge Circular Rd, Beck Bagan, Kolkata, 700019",22.526861,88.357043
Rangeet-Southern Avenue,Service Centre,"135A Srijan Heights Building, SP Mukherjee Road, Kolkata, 700026",22.513432,88.345267
Lexus Motors-BT Road,Service Centre,"149 BT Road, Kolkata, 700058",22.637553,88.373474
Lexus Motors-Rajarhat,Service Centre,"D Major Arterial Rd, Rajarhat, Kolkata, 700135",22.595251,88.471103
Nibir Motors,Service Centre,"Madhuban, Kolkata, 700100",22.600655,88.484942
OSL Future - Behala,Service Centre,"Ideal Regency, Diamond Harbour Road, Thakurpukur, Kolkata, 700063",22.464344,88.27515
OSL Future - Beliaghata,Service Centre,"Raikva, 3A Rammohan Mallick Garden Lane, Beleghata, Kolkata, 700010",22.568242,88.390792
Rangeet-Maheshtolla,Service Centre,"C2/110A/New And C2/110/New Budge Budge Trunk Road, Kolkata, 700141",22.465017,88.226925
Tc Motors-Rajarhat,Service Centre,"Plot No 204, New Town Road, Rajarhat, Kolkata, 700156",22.620964,88.470854
Dulichand Motors-Service,Service Centre,"Jagatipota, 5/51 Jagatipota, Near Kishan Market, Kolkata, 700099",22.495915,88.417504
KB Motors-Service,Service Centre,"Ballygunge Circular Road, Kolkata, 700019",22.526861,88.357043
TC Motors-Service,Service Centre,"Niranjan Pally, 1, Sourav Ganguly Avenue, Kolkata, 700141",22.622916,88.410698
Lexus Motors-Service,Service Centre,"Ground Floor, Narayanpur Nalmuri, Bhangar, Kolkata, 700074",22.558537,88.510442
Tata Power EV Charger - ITC Sonar,Service Centre,"1 JBS Haldane Ave, Tangra, Kolkata, 700046",22.545412,88.396714
Tata Power EV Charger - Quest Mall,Service Centre,"33 Syed Amir Ali Ave, Ballygunge, Kolkata, 700017",22.53817,88.3643
Tata Power EV Charger - Taj Bengal,Service Centre,"34-B Belvedere Road, Alipore, Kolkata, 700027",22.536701,88.333657
Statiq Charger - Forum Courtyard Mall,Service Centre,"10/3 Elgin Rd, Sreepally, Bhowanipore, Kolkata, 700020",22.529576,88.353484
Tata Charging Station,Service Centre,"43 Pandit Jawaharlal Nehru Road, Park Street, Kolkata, 700071",22.551314,88.352707
Tata power- TC Motors,Service Centre,"Foreshore Road, Kolkata, 711101",22.605751,88.359083
Tata power- Rajdanga Chambers OA Kasba,Service Centre,"OA Rajdanga, Kasba, Kolkata, 700107",22.512366,88.388839
