District,total_services,mean_nearest_neighbor_km,median_nearest_neighbor_km,p90_nearest_neighbor_km,latitude_mean,longitude_mean,Fuel Station,Food/Lodging,Vehicle Repair,Other,bbox_area_km2,service_density_per_1000km2,repair_share,fuel_share,food_share,category_diversity,density_gap_score,repair_gap_score,dispersion_score,diversity_gap_score,expansion_priority_score,expansion_priority_rank
Murshidabad,69,2.043154676764032,0.0,10.09016533728032,24.353666801449275,88.13692651884057,44,8,6,11,5628.229754425737,12.259627451374406,0.08695652173913043,0.6376811594202898,0.11594202898550725,0.7515193731037346,0.9841207021944517,0.9096989966555185,0.39735775866155865,0.8618685059449749,0.8237122478532444,1
South 24 Parganas,61,2.108624372253185,0.5896658986736873,5.757858860083217,22.264208601639346,88.26048951639343,41,6,8,6,10351.939869210504,5.892615371678371,0.13114754098360656,0.6721311475409836,0.09836065573770492,0.713899962240498,1.0,0.7465321563682219,0.4100904664470638,1.0,0.8186511323814682,2
Paschim Medinipur,18,4.019137027445198,1.8099147576879726,10.331090352664408,22.44577138888889,87.36998786111111,8,0,4,6,1107.7335714480648,16.249394677521437,0.2222222222222222,0.4444444444444444,0.0,0.7652465283787413,0.9741702417326538,0.41025641025641024,0.781651677742139,0.8114649397074452,0.7621470106604482,3
Birbhum,43,2.0382823281207236,0.9457040966134698,7.037655072512816,23.97964293255814,87.65158459534884,25,9,5,4,3422.3633700510945,12.564416851901388,0.11627906976744186,0.5813953488372093,0.20930232558139536,0.8034187700047031,0.9833605588810164,0.8014311270125224,0.39641017228528436,0.6713035537040207,0.7580767225593473,4
Malda,23,3.6646252335269454,1.6904900762829147,9.227421104555589,25.126285552173915,88.0962617173913,3,4,4,12,2071.312914580472,11.104068264190044,0.17391304347826086,0.13043478260869565,0.17391304347826086,0.8753801625759555,0.987002661304244,0.5886287625418061,0.7127053500595215,0.40707467711995815,0.7165641275278329,5
Kalimpong,11,4.172990092542344,1.6887086857455538,10.93966228435208,27.02492799090909,88.50055931818181,4,4,2,1,888.360211068218,12.382364566703114,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.9115339911368306,0.983814596413325,0.5594405594405594,0.811573401146379,0.27432452924873596,0.7013748346838267,6
Nadia,80,1.4112402492047722,0.0,4.01240757156861,23.276270651249998,88.5056344025,30,34,8,8,2744.7002054197405,29.147081288524838,0.1,0.375,0.425,0.8598362070013869,0.9420034727466376,0.8615384615384615,0.2744614828893603,0.4641491968365431,0.6928079667911192,7
Uttar Dinajpur,20,4.348925657097859,1.0128210341891757,11.68994296612805,25.963121655,88.12921423,6,8,4,2,1712.3720306651442,11.6797049016453,0.2,0.3,0.4,0.9232196723355077,0.9855670262717481,0.4923076923076922,0.8457897834867305,0.23141687689627943,0.6834667143486368,8
Bankura,46,5.141851724869042,1.891227010831319,13.801938980055798,23.249070102173913,87.11568676086956,17,11,10,8,4997.181570876623,9.205188834459445,0.21739130434782608,0.3695652173913043,0.2391304347826087,0.9709125317769884,0.9917384575590803,0.42809364548494977,1.0,0.05629754942041976,0.6653913814009995,9
Alipurduar,31,3.0130401563437994,1.7016521404265055,7.24592116838811,26.587012251612904,89.47297672580645,3,15,6,7,1396.2505632728455,22.202318706561694,0.1935483870967742,0.0967741935483871,0.4838709677419355,0.88807386656406,0.9593236775534559,0.5161290322580645,0.585983477853115,0.36046575218640475,0.6540853912161296,10
