Sr No.,District,Service,full_address,Latitude,Longitude,service_category,nearest_neighbor_km,local_support_count_15km,district_center_distance_km,suspected_geocode_outlier
1,Nadia,Geeta Fuel Point Kalyani 7003192813,"Geeta Fuel Point Kalyani 7003192813, petrol pump, Nadia, West Bengal, India",22.9638394,88.42530730000001,Fuel Station,0.0,23,37.32676725294848,False
2,Nadia,Panthika Hotel Kalyani More NH34 9609119742,"Panthika Hotel Kalyani More NH34 9609119742, restaurant, Nadia, West Bengal, India",22.9677583,88.5456955,Food/Lodging,0.0,24,36.13209228449447,False
3,Nadia,Local Garage Kalyani More 3478867321,"Local Garage Kalyani More 3478867321, auto repair, Nadia, West Bengal, India",22.9677583,88.5456955,Vehicle Repair,0.0,24,36.13209228449447,False
4,Nadia,Popular Fuel Pump Kalyani 9734817661,"Popular Fuel Pump Kalyani 9734817661, petrol pump, Nadia, West Bengal, India",22.9747271,88.43372099999999,Fuel Station,0.0,25,35.957283090239486,False
5,Nadia,Maa Tara Hotel Chakdaha NH34 8438739963,"Maa Tara Hotel Chakdaha NH34 8438739963, restaurant, Nadia, West Bengal, India",23.0765247,88.5293319,Food/Lodging,0.5308863855741629,27,23.930919474826375,False
7,Nadia,K D Rampogal Jaguli More NH34 9830834804,"K D Rampogal Jaguli More NH34 9830834804, Nadia, West Bengal, India",23.2587912,88.5373693,Other,0.0,15,4.667713969164053,False
8,Nadia,Maa Durga Hotel Bhadurgur Dubulia Nadia,"Maa Durga Hotel Bhadurgur Dubulia Nadia, restaurant, Nadia, West Bengal, India",23.3641788,88.7121708,Food/Lodging,6.073578692302079,4,22.400073389290473,False
9,Nadia,Raj Motors Works Dubulia Nadia,"Raj Motors Works Dubulia Nadia, Nadia, West Bengal, India",23.4923702,88.45322949999999,Vehicle Repair,0.0,27,23.092782900505757,False
10,Nadia,Maa Manasha Fuel Pump Kalyani More NH34 9732773554,"Maa Manasha Fuel Pump Kalyani More NH34 9732773554, petrol pump, Nadia, West Bengal, India",22.9797518,88.43771369999999,Fuel Station,0.0,27,35.32614717391256,False
11,Nadia,Tara Maa Hotel Pranab Ghosh Hanskhali Road,"Tara Maa Hotel Pranab Ghosh Hanskhali Road, restaurant, Nadia, West Bengal, India",23.3348669,88.648285,Food/Lodging,2.347380267056092,7,15.153917220971717,False
12,Nadia,KTN Auto Parts Krishnanagar Nadia,"KTN Auto Parts Krishnanagar Nadia, Nadia, West Bengal, India",23.4013101,88.50211519999999,Vehicle Repair,1.5453403575541387,29,12.298477238257538,False
13,Nadia,Debdatta Service Station Birohi More NH34 7908134833,"Debdatta Service Station Birohi More NH34 7908134833, Nadia, West Bengal, India",22.9717907,88.5058707,Fuel Station,0.0,26,35.47640507813806,False
14,Nadia,Kali Maa Hotel Birohi Ghosh Bhadurburi Nadia,"Kali Maa Hotel Birohi Ghosh Bhadurburi Nadia, restaurant, Nadia, West Bengal, India",23.4404055,88.4639693,Food/Lodging,2.336388964090043,26,17.224271616337138,False
15,Nadia,Bengal Tyre Service Birohi Nadia,"Bengal Tyre Service Birohi Nadia, Nadia, West Bengal, India",23.5357681,88.5474832,Vehicle Repair,7.264533081837276,16,27.53425770064182,False
